Timestamp,Tipo,Jogo,Mensagem
2025-08-27 16:08:14,predicted_drop,Dead By Daylight,🔮 Dead By Daylight: Queda de -52.3% prevista nos próximos 7 dias
2025-08-27 16:08:14,predicted_drop,Grand Theft Auto,🔮 Grand Theft Auto: Queda de -19.0% prevista nos próximos 7 dias
2025-08-27 16:08:14,predicted_drop,Company Of Heroes 2,🔮 Company Of Heroes 2: Queda de -18.2% prevista nos próximos 7 dias
2025-08-27 16:08:14,predicted_drop,Sid Meiers Civilization Vi,🔮 Sid Meiers Civilization Vi: Queda de -14.2% prevista nos próximos 7 dias
2025-08-27 16:08:14,predicted_drop,Cyberpunk 2077,🔮 Cyberpunk 2077: Queda de -12.7% prevista nos próximos 7 dias
2025-08-27 16:08:14,predicted_drop,The Witcher 3,🔮 The Witcher 3: Queda de -11.9% prevista nos próximos 7 dias
2025-08-27 16:08:14,predicted_drop,Stardew Valley,🔮 Stardew Valley: Queda de -11.2% prevista nos próximos 7 dias
2025-08-28 09:29:46,predicted_drop,Dead By Daylight,🔮 Dead By Daylight: Queda de -52.3% prevista nos próximos 7 dias
2025-08-28 09:29:46,predicted_drop,Grand Theft Auto,🔮 Grand Theft Auto: Queda de -19.0% prevista nos próximos 7 dias
2025-08-28 09:29:46,predicted_drop,Company Of Heroes 2,🔮 Company Of Heroes 2: Queda de -18.2% prevista nos próximos 7 dias
2025-08-28 09:29:46,predicted_drop,Sid Meiers Civilization Vi,🔮 Sid Meiers Civilization Vi: Queda de -14.2% prevista nos próximos 7 dias
2025-08-28 09:29:46,predicted_drop,Cyberpunk 2077,🔮 Cyberpunk 2077: Queda de -12.7% prevista nos próximos 7 dias
2025-08-28 09:29:46,predicted_drop,The Witcher 3,🔮 The Witcher 3: Queda de -11.9% prevista nos próximos 7 dias
2025-08-28 09:29:46,predicted_drop,Stardew Valley,🔮 Stardew Valley: Queda de -11.2% prevista nos próximos 7 dias
2025-08-28 09:41:20,predicted_drop,Dead By Daylight,🔮 Dead By Daylight: Queda de -52.3% prevista nos próximos 7 dias
2025-08-28 09:41:20,predicted_drop,Grand Theft Auto,🔮 Grand Theft Auto: Queda de -19.0% prevista nos próximos 7 dias
2025-08-28 09:41:20,predicted_drop,Company Of Heroes 2,🔮 Company Of Heroes 2: Queda de -18.2% prevista nos próximos 7 dias
2025-08-28 09:41:20,predicted_drop,Sid Meiers Civilization Vi,🔮 Sid Meiers Civilization Vi: Queda de -14.2% prevista nos próximos 7 dias
2025-08-28 09:41:20,predicted_drop,Cyberpunk 2077,🔮 Cyberpunk 2077: Queda de -12.7% prevista nos próximos 7 dias
2025-08-28 09:41:20,predicted_drop,The Witcher 3,🔮 The Witcher 3: Queda de -11.9% prevista nos próximos 7 dias
2025-08-28 09:41:20,predicted_drop,Stardew Valley,🔮 Stardew Valley: Queda de -11.2% prevista nos próximos 7 dias
2025-08-28 09:57:50,predicted_drop,Dead By Daylight,🔮 Dead By Daylight: Queda de -52.3% prevista nos próximos 7 dias
2025-08-28 09:57:50,predicted_drop,Grand Theft Auto,🔮 Grand Theft Auto: Queda de -19.0% prevista nos próximos 7 dias
2025-08-28 09:57:50,predicted_drop,Company Of Heroes 2,🔮 Company Of Heroes 2: Queda de -18.2% prevista nos próximos 7 dias
2025-08-28 09:57:50,predicted_drop,Sid Meiers Civilization Vi,🔮 Sid Meiers Civilization Vi: Queda de -14.2% prevista nos próximos 7 dias
2025-08-28 09:57:50,predicted_drop,Cyberpunk 2077,🔮 Cyberpunk 2077: Queda de -12.7% prevista nos próximos 7 dias
2025-08-28 09:57:50,predicted_drop,The Witcher 3,🔮 The Witcher 3: Queda de -11.9% prevista nos próximos 7 dias
2025-08-28 09:57:50,predicted_drop,Stardew Valley,🔮 Stardew Valley: Queda de -11.2% prevista nos próximos 7 dias
