nome_jogo,steam_id,semana_2014-47,semana_2014-48,semana_2014-50,semana_2014-51,semana_2014-52,semana_2015-00,semana_2015-02,semana_2015-05,semana_2015-06,semana_2015-07,semana_2015-12,semana_2015-13,semana_2015-15,semana_2015-20,semana_2015-21,semana_2015-23,semana_2015-24,semana_2015-25,semana_2015-28,semana_2015-29,semana_2015-30,semana_2015-33,semana_2015-34,semana_2015-35,semana_2015-36,semana_2015-37,semana_2015-43,semana_2015-44,semana_2015-45,semana_2015-46,semana_2015-47,semana_2015-48,semana_2015-50,semana_2015-51,semana_2016-01,semana_2016-02,semana_2016-03,semana_2016-05,semana_2016-06,semana_2016-07,semana_2016-08,semana_2016-10,semana_2016-11,semana_2016-12,semana_2016-13,semana_2016-16,semana_2016-17,semana_2016-20,semana_2016-22,semana_2016-23,semana_2016-25,semana_2016-27,semana_2016-29,semana_2016-30,semana_2016-33,semana_2016-34,semana_2016-35,semana_2016-37,semana_2016-38,semana_2016-39,semana_2016-40,semana_2016-42,semana_2016-43,semana_2016-44,semana_2016-47,semana_2016-48,semana_2016-50,semana_2016-51,semana_2017-01,semana_2017-02,semana_2017-04,semana_2017-05,semana_2017-07,semana_2017-08,semana_2017-09,semana_2017-10,semana_2017-11,semana_2017-12,semana_2017-13,semana_2017-14,semana_2017-15,semana_2017-19,semana_2017-21,semana_2017-22,semana_2017-23,semana_2017-24,semana_2017-25,semana_2017-27,semana_2017-28,semana_2017-31,semana_2017-32,semana_2017-34,semana_2017-35,semana_2017-37,semana_2017-38,semana_2017-39,semana_2017-40,semana_2017-42,semana_2017-43,semana_2017-44,semana_2017-45,semana_2017-47,semana_2017-48,semana_2017-49,semana_2017-50,semana_2017-51,semana_2018-00,semana_2018-01,semana_2018-05,semana_2018-06,semana_2018-07,semana_2018-11,semana_2018-12,semana_2018-13,semana_2018-14,semana_2018-15,semana_2018-18,semana_2018-19,semana_2018-20,semana_2018-21,semana_2018-23,semana_2018-24,semana_2018-26,semana_2018-28,semana_2018-30,semana_2018-33,semana_2018-34,semana_2018-35,semana_2018-36,semana_2018-37,semana_2018-38,semana_2018-39,semana_2018-40,semana_2018-42,semana_2018-43,semana_2018-44,semana_2018-45,semana_2018-46,semana_2018-47,semana_2018-48,semana_2018-49,semana_2018-50,semana_2019-00,semana_2019-02,semana_2019-03,semana_2019-04,semana_2019-05,semana_2019-06,semana_2019-08,semana_2019-10,semana_2019-11,semana_2019-13,semana_2019-14,semana_2019-15,semana_2019-18,semana_2019-19,semana_2019-20,semana_2019-21,semana_2019-22,semana_2019-23,semana_2019-24,semana_2019-25,semana_2019-27,semana_2019-29,semana_2019-30,semana_2019-31,semana_2019-33,semana_2019-34,semana_2019-35,semana_2019-36,semana_2019-37,semana_2019-38,semana_2019-40,semana_2019-42,semana_2019-43,semana_2019-44,semana_2019-45,semana_2019-46,semana_2019-47,semana_2019-48,semana_2019-49,semana_2019-50,semana_2020-00,semana_2020-02,semana_2020-03,semana_2020-04,semana_2020-05,semana_2020-06,semana_2020-10,semana_2020-11,semana_2020-12,semana_2020-13,semana_2020-14,semana_2020-16,semana_2020-17,semana_2020-20,semana_2020-22,semana_2020-24,semana_2020-25,semana_2020-27,semana_2020-30,semana_2020-31,semana_2020-32,semana_2020-33,semana_2020-34,semana_2020-36,semana_2020-37,semana_2020-40,semana_2020-41,semana_2020-42,semana_2020-43,semana_2020-44,semana_2020-45,semana_2020-47,semana_2020-48,semana_2020-49,semana_2020-50,semana_2020-51,semana_2021-01,semana_2021-02,semana_2021-03,semana_2021-06,semana_2021-07,semana_2021-08,semana_2021-09,semana_2021-12,semana_2021-13,semana_2021-14,semana_2021-15,semana_2021-17,semana_2021-18,semana_2021-19,semana_2021-20,semana_2021-21,semana_2021-22,semana_2021-23,semana_2021-24,semana_2021-25,semana_2021-27,semana_2021-28,semana_2021-29,semana_2021-31,semana_2021-32,semana_2021-34,semana_2021-36,semana_2021-37,semana_2021-38,semana_2021-39,semana_2021-42,semana_2021-43,semana_2021-44,semana_2021-47,semana_2021-48,semana_2021-49,semana_2021-50,semana_2021-51,semana_2022-01,semana_2022-02,semana_2022-04,semana_2022-05,semana_2022-06,semana_2022-08,semana_2022-09,semana_2022-10,semana_2022-12,semana_2022-14,semana_2022-16,semana_2022-17,semana_2022-18,semana_2022-19,semana_2022-23,semana_2022-24,semana_2022-25,semana_2022-27,semana_2022-29,semana_2022-31,semana_2022-32,semana_2022-35,semana_2022-37,semana_2022-38,semana_2022-40,semana_2022-41,semana_2022-42,semana_2022-43,semana_2022-44,semana_2022-47,semana_2022-48,semana_2022-49,semana_2022-50,semana_2022-51,semana_2023-01,semana_2023-02,semana_2023-03,semana_2023-04,semana_2023-05,semana_2023-09,semana_2023-10,semana_2023-11,semana_2023-12,semana_2023-14,semana_2023-15,semana_2023-16,semana_2023-17,semana_2023-18,semana_2023-19,semana_2023-21,semana_2023-22,semana_2023-23,semana_2023-24,semana_2023-25,semana_2023-26,semana_2023-28,semana_2023-30,semana_2023-31,semana_2023-32,semana_2023-33,semana_2023-35,semana_2023-36,semana_2023-37,semana_2023-38,semana_2023-39,semana_2023-41,semana_2023-42,semana_2023-43,semana_2023-44,semana_2023-45,semana_2023-46,semana_2023-47,semana_2023-48,semana_2023-49,semana_2023-50,semana_2023-51,semana_2024-00,semana_2024-02,semana_2024-03,semana_2024-04,semana_2024-05,semana_2024-07,semana_2024-08,semana_2024-09,semana_2024-10,semana_2024-11,semana_2024-12,semana_2024-13,semana_2024-14,semana_2024-16,semana_2024-17,semana_2024-18,semana_2024-19,semana_2024-21,semana_2024-22,semana_2024-23,semana_2024-24,semana_2024-25,semana_2024-26,semana_2024-27,semana_2024-28,semana_2024-29,semana_2024-30,semana_2024-31,semana_2024-32,semana_2024-33,semana_2024-35,semana_2024-37,semana_2024-39,semana_2024-40,semana_2024-41,semana_2024-42,semana_2024-43,semana_2024-44,semana_2024-45,semana_2024-46,semana_2024-47,semana_2024-48,semana_2024-49,semana_2024-50,semana_2025-00,semana_2025-01,semana_2025-02,semana_2025-03,semana_2025-04,semana_2025-05,semana_2025-06,semana_2025-08,semana_2025-09,semana_2025-10,semana_2025-11,semana_2025-12,semana_2025-13,semana_2025-14,semana_2025-15,semana_2025-16,semana_2025-18,semana_2025-19,semana_2025-21,semana_2025-22,semana_2025-24,semana_2025-25,semana_2025-26,semana_2025-27,semana_2025-28,semana_2025-30,semana_2025-31,semana_2025-32,semana_2025-33,semana_2025-34,semana_2025-40
Elden Ring,1245620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.9,151.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.9,,,,,,,,,,,,,,,,,,,,,,,,,,229.9,,,,,,,,,,,229.9,,,,,,,,,,,,,,,,,,,,,,,,,,274.5
Company Of Heroes 2,231430,11.89,34.99,17.49,11.89,11.89,34.99,,,8.74,34.99,8.74,34.99,19.99,,,17.49,8.74,34.99,20.69,,20.69,20.69,8.74,20.69,,,,22.99,,7.81,5.74,22.99,,5.74,22.99,5.74,22.99,5.74,22.99,5.74,,5.74,22.99,,,7.81,22.99,,,,5.74,22.99,,,,,,5.74,,,,,5.74,22.99,,,5.74,5.74,22.99,,,,5.74,22.99,,,,,,,,,,5.74,22.99,,5.74,22.99,,,,,,,,,36.99,,,,,9.24,36.99,,,9.24,36.99,,,9.24,36.99,,,,,,,,,,,9.24,36.99,,,,,,,,,,,,,,,,,0.0,36.99,,,,,,12.57,36.99,,9.24,36.99,,,,9.24,,,,,,,,,7.39,36.99,,,,,,9.24,36.99,,,,,0.0,9.24,9.24,36.99,,9.24,36.99,,9.24,36.99,,,,,,,,9.24,,,,,9.24,36.99,,,,,,,,1.85,,36.99,,,,9.24,36.99,,,9.24,36.99,,,9.24,36.99,,,,,,,,,,,0.0,9.24,,,,,1.85,36.99,,,,,,9.24,36.99,,,,9.24,36.99,,,9.24,36.99,,9.24,36.99,,,,,,,,,,,,,7.39,36.99,,,,,,,3.69,0.0,,,,9.24,36.99,,,9.24,36.99,,,,,,,,,,,,,,,,,,,,9.24,36.99,,,,,27.99,36.99,9.24,36.99,,,104.9,,,,,26.22,104.9,,,26.22,104.9,,,,,,,,26.22,104.9,,,,,,26.22,104.9,,,,,31.47,,104.9,,,,31.47,104.9,,,31.47,104.9,,,,26.22,104.9,,,26.22,31.47,,,104.9,,,26.22,,104.9,,,26.22,,104.9,,,,,26.22,57.99,,,20.29,57.99,20.29,,57.99,14.49,57.99,,,,57.99,
Hollow Knight,367520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.99,,,,,,,,,,,,,18.47,27.99,,18.47,27.99,,,,,,,,18.47,27.99,,18.47,27.99,18.47,,18.47,27.99,,,18.47,27.99,18.47,18.47,27.99,18.47,27.99,,,,,,18.47,27.99,,,18.47,27.99,,,,,,,,18.47,,,18.47,27.99,,,18.47,27.99,,18.47,27.99,18.47,27.99,,,,,,,,,,,,,,16.79,27.99,,,,,,,,,,,,13.99,,,,,,,13.99,27.99,,13.99,27.99,,,,,,,,,13.99,,,,13.99,27.99,,,13.99,,,,,,,,13.99,27.99,,13.99,27.99,,,13.99,27.99,,,,,,,,,,,,,,,,,,,13.99,27.99,,,13.99,27.99,,,,,,,13.99,27.99,13.99,27.99,,,13.99,27.99,,13.99,27.99,,13.99,,,,,,,11.19,27.99,,,13.99,27.99,,,,,,,,,,13.99,27.99,13.99,27.99,,,13.99,27.99,,,,46.99,,,23.49,46.99,,,,,,,,,,,,23.49,46.99,,,,,,,,,,,,23.49,46.99,,,23.49,46.99,,,23.49,46.99,,,,,,,,23.49,46.99,,,,,,,,,,,,23.49,,46.99,,,,,,,,,,,,,23.49,46.99,,,23.49,46.99,,23.49,46.99,23.49,46.99,,,,,,,23.49,46.99,,,,,,,,,,,23.49,,46.99,,,,,,23.49,
Grand Theft Auto,271590,,,,,,,99.99,99.99,,,,,59.99,,,97.1,,99.99,,66.99,,,,,,,0.0,99.99,0.0,,59.99,59.99,59.99,59.99,99.99,,,66.99,99.99,,,,,66.99,99.99,,,,66.99,99.99,59.99,99.99,66.99,99.99,66.99,99.99,,,66.99,99.99,,,59.99,99.99,49.99,99.99,49.99,49.99,99.99,,,,49.99,99.99,,,,49.99,99.99,,,,59.99,99.99,,,49.99,99.99,,,,49.99,,,,59.99,99.99,,49.99,99.99,,49.99,99.99,49.99,99.99,39.99,40.0,,,49.99,99.99,49.99,,99.99,,,49.99,99.99,,,,32.99,69.99,46.19,69.99,,46.19,,69.99,,,46.19,69.99,,46.19,,69.99,46.19,69.99,,34.99,,69.99,,,,34.99,69.99,34.99,69.99,,,,,34.99,69.99,,,,,,34.99,69.99,34.99,,69.99,34.99,69.99,,,,,,,34.99,,69.99,,34.99,69.99,34.99,34.99,69.99,,34.99,,69.99,,,34.99,,69.99,,,,,,34.99,,69.99,,34.99,,69.99,,,,,34.99,,34.99,69.99,,34.99,69.99,,,34.99,69.99,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.14,,82.42,38.63,,37.5,41.76,38.63,38.63,48.14,,,82.42,38.63,,64.19,,82.42,38.63,,48.14,,,40.66,23.82,64.19,23.82,38.63,38.63,82.42,40.66,48.14,48.15,32.19,61.17,,40.66,38.63,49.61,34.14,,49.61,,82.41,,38.63,49.61,,82.41,,38.63,,82.41,38.63,,49.61,,82.41,40.66,38.63,49.61,,82.41,,55.05,,38.63,,64.2,38.63,82.41,,38.63,40.66,,82.41,38.63,,82.41,,105.66,0.0,,,,,,,,,,,,,,,,,,,,,0.0,
Stardew Valley,413150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.99,,,,,,,,,,19.99,24.99,,,,,,,,,,,,,16.74,16.74,,16.74,24.99,,,,,,19.99,,,,,,,,,,,,14.99,14.99,24.99,,,,,,,,,,,,,16.74,24.99,,,16.74,24.99,,,19.99,24.99,,,,,,,,,,,19.99,24.99,,,,,,,,,,,,19.99,,,,,,,18.74,24.99,,,,,,,,,,,,,,,,,,,19.99,24.99,,,,,,,,,,,,,,19.99,,22.49,24.99,,14.99,24.99,,16.74,24.99,,,,,,,,,,,,,14.99,24.99,,,19.99,,,,,,,,19.99,24.99,,17.49,24.99,,,16.74,24.99,,,19.99,24.99,12.49,,19.99,24.99,,,,,,,,,,,14.99,24.99,,,14.99,24.99,,,,,,,19.99,24.99,14.99,24.99,,,17.49,24.99,,19.99,24.99,,,,,,,,,24.99,,,,14.99,24.99,,19.99,24.99,,,,,,,,,19.99,24.99,,,14.99,24.99,,,,,12.49,,,17.49,,,,,,,,,19.99,24.99,,16.49,24.99,,19.99,24.99,,,,,,,,,,,,,19.99,24.99,,,16.74,24.99,,,,,,12.49,,19.99,24.99,,,,,16.49,24.99,,,,,,14.99,,24.99,,,,19.99,24.99,,,,,12.49,24.99,,,,,,17.49,24.99,,14.99,24.99,,,,,,,,,14.99,24.99,,,,,,,,,,,12.49,,24.99,,,17.49,24.99,,24.99,
The Witcher 3,292030,95.39,,,,,,,,,,,,,129.99,129.99,116.99,,129.99,,,,,,,90.99,129.99,90.99,129.99,90.99,,64.99,64.99,,64.99,129.99,,,64.99,129.99,99.99,,,,,,,,49.99,99.99,,49.99,99.99,,,,49.99,79.99,,,59.99,79.99,53.59,53.59,79.99,39.99,79.99,,39.99,79.99,,,47.99,,,,,,,47.99,,,,,47.99,79.99,,47.99,79.99,,,,,47.99,,,,,39.99,39.99,79.99,,39.99,79.99,,,39.99,79.99,,39.99,39.99,79.99,,,,39.99,79.99,,,,,39.99,39.99,79.99,,,,,39.99,79.99,,,,,,39.99,39.99,,39.99,79.99,,,39.99,79.99,,,,23.99,79.99,,,,,23.99,79.99,,,,,,23.99,79.99,23.99,79.99,,,,,,23.99,79.99,,,,,23.99,,23.99,,23.99,79.99,23.99,23.99,79.99,,23.99,79.99,,,,,23.99,,79.99,,,23.99,79.99,,23.99,79.99,,,,,23.99,79.99,,,,,23.99,79.99,,23.99,79.99,23.99,79.99,23.99,79.99,,,15.99,79.99,,,15.99,,79.99,,,,,15.99,,79.99,,,15.99,15.99,,,,,15.99,79.99,,,,,15.99,79.99,15.99,79.99,15.99,79.99,15.99,79.99,,15.99,79.99,,,15.99,79.99,,,15.99,,79.99,,15.99,79.99,15.99,79.99,,,15.99,,15.99,79.99,,,,15.99,79.99,15.99,79.99,15.99,79.99,15.99,79.99,,15.99,79.99,,,,23.99,79.99,,23.99,,79.99,,,,,,23.99,79.99,23.99,79.99,23.99,,79.99,,,,,,38.99,129.99,,,,,,32.49,129.99,32.49,129.99,32.49,129.99,,,,32.49,129.99,,,32.49,129.99,32.49,,129.99,,,,32.49,129.99,,,,12.99,,129.99,,,,,32.49,129.99,,32.49,129.99,,,,32.49,,129.99,,32.49,129.99,25.99,25.99,129.99,,,25.99,,129.99,,,,25.99,,129.99,,,,,,12.99,129.99,,,25.99,,129.99,,,25.99,,129.99,129.99,
Cyberpunk 2077,1091500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.9,,,,,,,,,,,199.9,,,,,199.9,,,,,,199.9,99.95,,,99.95,,,,,179.91,,,,,,199.9,199.9,,199.9,,,199.9,,,,,,199.9,,,,,199.9,,,99.95,,,,99.95,,,,,,,99.95,199.9,,,199.9,,,,,,,,,,,,199.9,99.95,,,,,,,,,,,,,,,,,,,,,99.95,,,,99.95,199.9,,,,,,,,,,,,,199.9,199.9,,,,,,,,,,199.9,,,,99.95,,,,,,,89.95,,,,199.9,,,,,99.95,,,,,,199.9,199.9,,,,,,,,69.96,,,,,,,,,,,,,,,,,199.9
Red Dead Redemption,1174180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.2,,,239.0,,239.0,,239.0,,,,,,,,,239.0,,,239.0,,,,,,160.13,,,,,,191.2,,,,,,,239.0,239.0,,,,,,,,,160.13,239.0,,,,,,,,,,,,239.0,,,160.13,119.5,,,,,160.13,,,,,,,119.5,,,,,239.0,,,239.0,,,119.5,78.87,,,,239.0,,,,,,,119.5,,,,,,119.5,,,,,,,,239.0,,299.9,,,98.96,,,,239.0,,,,,299.9,,,98.96,,,,,,,,,,,,,,,,,,299.9,,,,,,,,,,,,,,299.9,299.9,,,,98.96,,,,,,,,,,98.97,,,,,,,299.9,,,,119.96,,,,,299.9,,,,,,299.9,299.9,,,74.97,,,,,,,,,,,299.9,,,,,,,,,,,
Sid Meiers Civilization Vi,289070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.1,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,,129.0,,,,,,129.0,,129.0,,,,,,,,86.43,129.0,129.0,,,,,,,,,,,103.2,86.43,,,,,,,129.0,,,,,,,129.0,,,,,,129.0,,,129.0,,,,42.57,,,,51.6,,,,129.0,,,,,,,,,,,129.0,,,,,,,,,129.0,38.7,,38.7,,,,,,,42.57,,,,,,,,,,129.0,,,,38.7,,,129.0,,,,,32.25,,,129.0,,129.0,,129.0,32.25,,,,,,,,38.7,,,129.0,,32.25,32.25,,,129.0,,,129.0,,,,129.0,,32.25,,,,,129.0,,19.35,,,129.0,,,,,129.0,,,,,,,,,,,,129.0,19.35,,,,,,,,,,,,,,,,,,,,129.0,,,,,,129.0,19.35,,,,129.0,,,12.9,,,,,,,,19.35,,19.35,129.0,,,,129.0,,,129.0,12.9,,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,96.74,,,,,10.24,,,,,,78.84,,,,,,,100.32,64.48,,,,6.45,,,,,,6.45,,,,129.0,129.0,,,,,,129.0,,,,25.06,,,,,,,,,,,129.0,,,,,,,,,12.9,,,,,,,,,129.0,,,,12.9,,,,129.0
Dead By Daylight,381210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.29,,,,,,36.99,,,31.44,36.99,,,,,,,25.89,36.99,25.89,36.99,25.89,25.89,36.99,,25.89,36.99,,,,22.19,36.99,,,,,,,,,22.19,,36.99,,,,,,18.49,36.99,,,,18.49,36.99,,18.49,36.99,,,18.49,36.99,,,18.49,36.99,,,,,,,,18.49,36.99,18.49,,36.99,,,,,,,18.49,36.99,,,18.49,36.99,,,18.49,36.99,,,18.49,36.99,18.49,22.39,,18.49,36.99,,,,18.49,36.99,,,,18.49,36.99,,,18.49,,36.99,,,,,,,,18.49,36.99,,18.49,36.99,,,,18.49,36.99,,14.79,36.99,,14.79,36.99,,,14.79,36.99,,,,14.79,,,,14.79,,36.99,14.79,36.99,,,,14.79,36.99,,,,14.79,36.99,,14.79,36.99,,,14.79,36.99,,,22.19,36.99,,,,18.49,,27.99,36.99,24.04,36.99,,,,,22.19,,,36.99,,,,,19.99,,39.99,,19.99,,39.99,,19.99,39.99,,19.99,39.99,,19.99,,39.99,,,24.99,49.99,,,24.99,24.99,49.99,19.99,,19.99,49.99,19.99,49.99,,19.99,49.99,,,,19.99,,49.99,19.99,49.99,,,17.49,,49.99,,,,,19.99,19.99,49.99,,,19.99,,49.99,,,,,19.99,49.99,19.99,49.99,19.99,49.99,,,24.99,,49.99,,,,19.99,,49.99,,,19.99,49.99,,,17.49,49.99,,,19.99,49.99,,,,19.99,59.97,,,,23.98,59.97,,,,23.98,,59.97,23.98,,59.97,,23.98,,59.97,,,,,,,,23.98,,54.99,,,23.98,59.97,,20.98,59.97,,,,,,23.98,59.97,,23.98,59.97,,23.98,,59.97,,54.99,59.97,,,23.98,23.98,,59.97,,23.98,,59.97,,69.99,
